total_reward,episode_length,epsilon,game_won,timeout,final_territory,final_army,episode,timestamp
-32.68000000000166,5000,0.19611067854912728,0.0,True,14,432,191,1749851779.2642534
-33.49000000000191,5000,0.19611067854912728,0.0,True,13,451,192,1749851779.2646933
-0.01,1,0.19611067854912728,0.0,False,14,422,193,1749851779.3347244
-0.01,1,0.19611067854912728,0.0,False,15,427,194,1749851779.335763
-0.01,1,0.19611067854912728,0.0,False,13,443,195,1749851779.3361878
-0.01,1,0.19611067854912728,0.0,False,12,434,196,1749851779.3365889
-0.01,1,0.19611067854912728,0.0,False,11,428,197,1749851779.3369784
-0.01,1,0.19611067854912728,0.0,False,12,422,198,1749851779.3373675
-0.01,1,0.19611067854912728,0.0,False,14,432,199,1749851779.3378122
-0.01,1,0.19611067854912728,0.0,False,13,451,200,1749851779.3382356
-34.32000000000193,5000,0.1730128104744653,0.0,True,12,468,201,1749852131.999505
-33.16000000000244,5000,0.1730128104744653,0.0,True,13,484,202,1749852132.0038214
-36.4800000000016,5000,0.1730128104744653,0.0,True,10,452,203,1749852132.0047803
-38.97000000000077,5000,0.1730128104744653,0.0,True,8,403,204,1749852132.0056825
-34.38000000000218,5000,0.1730128104744653,0.0,True,12,462,205,1749852132.0063946
-32.19000000000262,5000,0.1730128104744653,0.0,True,14,481,206,1749852132.006913
-32.36000000000309,5000,0.1730128104744653,0.0,True,14,464,207,1749852132.0074317
-36.61000000000138,5000,0.1730128104744653,0.0,True,10,439,208,1749852132.007906
-0.01,1,0.1730128104744653,0.0,False,12,468,209,1749852132.0822568
-0.01,1,0.1730128104744653,0.0,False,13,484,210,1749852132.0832796
-0.01,1,0.1730128104744653,0.0,False,10,452,211,1749852132.0838203
-0.01,1,0.1730128104744653,0.0,False,8,403,212,1749852132.0842795
-0.01,1,0.1730128104744653,0.0,False,12,462,213,1749852132.0846882
-0.01,1,0.1730128104744653,0.0,False,14,481,214,1749852132.085116
-0.01,1,0.1730128104744653,0.0,False,14,464,215,1749852132.0855272
-0.01,1,0.1730128104744653,0.0,False,10,439,216,1749852132.0859227
-38.830000000001114,5000,0.1526354036900377,0.0,True,8,417,217,1749852481.1414518
-38.780000000000975,5000,0.1526354036900377,0.0,True,8,422,218,1749852481.1436775
-34.34000000000204,5000,0.1526354036900377,0.0,True,12,466,219,1749852481.1443608
-36.59000000000137,5000,0.1526354036900377,0.0,True,10,441,220,1749852481.1448529
-36.670000000001394,5000,0.1526354036900377,0.0,True,10,433,221,1749852481.1453598
-34.35000000000209,5000,0.1526354036900377,0.0,True,12,465,222,1749852481.1459165
-32.43000000000273,5000,0.1526354036900377,0.0,True,14,457,223,1749852481.1464334
-34.49000000000186,5000,0.1526354036900377,0.0,True,12,451,224,1749852481.1469264
-0.01,1,0.1526354036900377,0.0,False,8,417,225,1749852481.2187352
-0.01,1,0.1526354036900377,0.0,False,8,422,226,1749852481.2199419
-0.01,1,0.1526354036900377,0.0,False,12,466,227,1749852481.2206855
-0.01,1,0.1526354036900377,0.0,False,10,441,228,1749852481.2213452
-0.01,1,0.1526354036900377,0.0,False,10,433,229,1749852481.2220073
-0.01,1,0.1526354036900377,0.0,False,12,465,230,1749852481.2225819
-0.01,1,0.1526354036900377,0.0,False,14,457,231,1749852481.2231016
-0.01,1,0.1526354036900377,0.0,False,12,451,232,1749852481.2236779
-33.300000000002434,5000,0.1346580429260134,0.0,True,13,470,233,1749852833.7410724
-32.20000000000296,5000,0.1346580429260134,0.0,True,14,480,234,1749852833.7426236
-34.32000000000182,5000,0.1346580429260134,0.0,True,12,468,235,1749852833.743153
280.13000000000324,5000,0.1346580429260134,0.0,True,9,603,236,1749852833.7435935
-34.55000000000229,5000,0.1346580429260134,0.0,True,12,445,237,1749852833.7440212
-34.35000000000222,5000,0.1346580429260134,0.0,True,12,465,238,1749852833.7444599
-34.58000000000175,5000,0.1346580429260134,0.0,True,12,442,239,1749852833.7449243
-35.52000000000168,5000,0.1346580429260134,0.0,True,11,448,240,1749852833.7453735
-0.01,1,0.1346580429260134,0.0,False,13,470,241,1749852833.8320844
-0.01,1,0.1346580429260134,0.0,False,14,480,242,1749852833.8331761
-0.01,1,0.1346580429260134,0.0,False,12,468,243,1749852833.8341806
0.09000000000000001,1,0.1346580429260134,0.0,False,9,603,244,1749852833.8352678
-0.01,1,0.1346580429260134,0.0,False,12,445,245,1749852833.8364081
-0.01,1,0.1346580429260134,0.0,False,12,465,246,1749852833.8372157
-0.01,1,0.1346580429260134,0.0,False,12,442,247,1749852833.83775
-0.01,1,0.1346580429260134,0.0,False,11,448,248,1749852833.8383195
-36.37000000000147,5000,0.11879805134519765,0.0,True,10,463,249,1749853187.6124291
-35.33000000000187,5000,0.11879805134519765,0.0,True,11,467,250,1749853187.6137607
-36.41000000000144,5000,0.11879805134519765,0.0,True,10,459,251,1749853187.614346
-34.300000000002406,5000,0.11879805134519765,0.0,True,12,470,252,1749853187.6148386
-35.60000000000139,5000,0.11879805134519765,0.0,True,11,440,253,1749853187.6153085
-34.480000000002306,5000,0.11879805134519765,0.0,True,12,452,254,1749853187.6157792
-36.5100000000009,5000,0.11879805134519765,0.0,True,10,449,255,1749853187.6163154
-35.39000000000181,5000,0.11879805134519765,0.0,True,11,461,256,1749853187.6167934
-0.01,1,0.11879805134519765,0.0,False,10,463,257,1749853187.694413
-0.01,1,0.11879805134519765,0.0,False,11,467,258,1749853187.6955612
-0.01,1,0.11879805134519765,0.0,False,10,459,259,1749853187.6962352
-0.01,1,0.11879805134519765,0.0,False,12,470,260,1749853187.6968184
-0.01,1,0.11879805134519765,0.0,False,11,440,261,1749853187.697322
-0.01,1,0.11879805134519765,0.0,False,12,452,262,1749853187.6977596
-0.01,1,0.11879805134519765,0.0,False,10,449,263,1749853187.6981807
-0.01,1,0.11879805134519765,0.0,False,11,461,264,1749853187.698583
-38.64000000000105,5000,0.10480604571960442,0.0,True,8,436,265,1749853540.3427703
-37.60000000000138,5000,0.10480604571960442,0.0,True,9,440,266,1749853540.344886
-36.540000000001235,5000,0.10480604571960442,0.0,True,10,446,267,1749853540.3455327
-37.580000000000865,5000,0.10480604571960442,0.0,True,9,442,268,1749853540.3460767
-36.39000000000146,5000,0.10480604571960442,0.0,True,10,461,269,1749853540.3466191
-35.49000000000158,5000,0.10480604571960442,0.0,True,11,451,270,1749853540.347123
-36.51000000000129,5000,0.10480604571960442,0.0,True,10,449,271,1749853540.3476546
-35.33000000000171,5000,0.10480604571960442,0.0,True,11,467,272,1749853540.3481286
-0.01,1,0.10480604571960442,0.0,False,8,436,273,1749853540.4209857
